bkp_code,bkp_bezeichnung,unt_id,firma,adresse,plz_ort,telefon,email
287,Baureinigung,25391,Cleandor GmbH,Vorderrainstrasse 13,6005 Luzern,,
287,Baureinigung,15069,Gallo AG,Bösch 45,6331 Hünenberg,+41 (41) 785 63 50,info.huenenberg@gallo.ch
287,Baureinigung,15860,gschaffig ag,Brünigstrasse 114,6060 Sarnen,+41 (41) 620 88 88,info@gschaffig.ch
287,Baureinigung,25392,Inter Clean AG,Horwerstrasse 26,6010 Kriens,+41 (41) 410 97 92,info@interclean.ch
287,Baureinigung,25390,Paul Hegglin GmbH,Industriestrasse 4,6060 Sarnen,+41 (41) 660 85 77,info@hausmanager.ch
287,Baureinigung,19916,Perltex AG,Horwerstrasse 83,6005 Luzern,+41 (41) 249 43 30,info@perltex.ch
421,Gärtnerarbeiten,25481,Amstutz Gartenbau AG,Neuhasli 2,6032 Emmen,+41 (41) 268 60 10,info@amstutzgartenbau.ch
421,Gärtnerarbeiten,11959,Blättler Gartenbau GmbH Gartenbau Gartenpflege,Gerbistrasse 3,6064 Kerns,+41 (41) 660 56 55,info@blaettler-gartenbau.ch
421,Gärtnerarbeiten,12439,Burri & Achermann Gartenbau AG,Unter Pfaffwil 1,6034 Inwil,+41 (41) 340 30 32,
421,Gärtnerarbeiten,13681,DUKA Gartenbau AG,Niderholzstrasse 40,6062 Wilen (Sarnen),+41 (41) 662 09 62,duka@bluewin.ch
421,Gärtnerarbeiten,13842,Egli Gartenbau AG Sursee,Allee 3,6210 Sursee,+41 (41) 926 60 00,info@gartenbau-egli.ch
421,Gärtnerarbeiten,14199,Enz Markus AG Gartenbau,Postfach 318,6460 Altdorf UR 1,+41 (41) 879 80 00,info@enz-ag.ch
421,Gärtnerarbeiten,15099,Gärnter Pflugshaupt AG,Postfach 373,6210 Sursee,+41 (41) 925 70 00,info@pflugshaupt.ch
421,Gärtnerarbeiten,15242,Gebr. Kuster AG,Bahnhofplatz 1,6371 Stans,+41 (41) 619 20 80,info@blumenkuster.ch
421,Gärtnerarbeiten,16446,Hodel & Partner AG Gartenunternehmer,Kaiserhof 1,6102 Malters,+41 (41),
421,Gärtnerarbeiten,16258,Küng Garten,Vockigenstrasse 8,6055 Alpnach Dorf,+41 (41) 670 10 10,pk@kuenggarten.ch
421,Gärtnerarbeiten,20185,Portmann Garten AG,Mittelgasse 5,6056 Kägiswil,+41 (41) 666 50 30,
